0;0;0;0;land;false;desert;0
1;213;136;159;land;false;plains;1
2;236;24;244;land;false;plains;1
3;124;224;166;land;false;forest;1
4;201;222;245;land;false;plains;1
5;199;243;196;land;false;forest;1
6;178;227;185;land;false;plains;1
7;161;176;215;land;false;hills;1
8;125;204;188;land;false;plains;1
9;126;236;181;land;true;hills;1
10;193;150;188;land;false;plains;1
11;235;202;112;land;true;plains;1
12;204;101;237;land;false;plains;1
13;199;147;233;land;false;plains;1
14;183;189;227;land;true;plains;1
15;198;214;151;land;false;hills;1
16;249;106;162;land;false;forest;1
17;166;151;198;land;false;desert;1
18;239;248;237;land;true;plains;1
19;129;229;160;land;false;hills;1
20;164;250;167;land;false;hills;1
21;133;240;151;land;false;plains;1
22;235;233;113;land;false;marsh;1
23;155;242;235;land;true;plains;1
24;229;216;162;land;false;mountain;1
25;244;67;203;land;false;plains;1
26;197;246;137;land;false;plains;1
27;186;246;93;land;false;jungle;1
28;119;204;193;land;false;plains;1
29;133;214;254;land;false;plains;1
30;102;254;154;land;false;hills;1
31;232;225;197;land;false;plains;1
32;144;174;192;land;true;plains;1
33;206;178;241;land;false;forest;1
34;195;115;208;land;true;forest;1
35;162;227;236;land;true;desert;1
36;198;188;234;land;false;plains;1
37;45;240;252;land;false;plains;1
38;89;212;201;land;false;hills;1
39;175;207;157;land;true;desert;1
40;144;137;242;land;false;mountain;1
41;152;158;240;land;false;plains;1
42;227;113;224;land;false;plains;1
43;134;189;254;land;false;jungle;1
44;204;135;245;land;false;forest;1
45;100;204;203;land;false;desert;1
46;214;204;87;land;false;plains;1
47;248;251;140;land;false;hills;1
48;211;234;64;land;true;forest;1
49;245;224;57;land;false;plains;1
50;252;98;193;land;false;desert;1
51;206;213;211;land;true;desert;1
52;235;181;145;land;false;plains;1
53;221;119;245;land;false;desert;1
54;234;118;191;land;false;hills;1
55;227;175;188;land;false;hills;1
56;149;178;250;land;false;plains;1
57;224;65;231;land;true;plains;1
58;236;220;196;land;false;plains;1
59;126;160;250;land;false;plains;1
60;241;214;91;land;true;plains;1
61;131;229;156;land;false;hills;1
62;254;73;175;land;false;hills;1
63;212;252;148;land;false;mountain;1
64;235;251;57;land;true;hills;1
65;218;203;200;land;true;plains;1
66;175;206;165;land;true;plains;1
67;125;237;187;land;false;plains;1
68;247;215;167;land;false;forest;1
69;112;226;253;land;false;plains;1
70;127;219;212;land;false;forest;1
71;250;254;89;land;true;plains;1
72;171;239;149;land;false;desert;1
73;226;217;62;land;false;plains;1
74;142;195;207;land;true;desert;1
75;173;220;109;land;false;desert;1
76;243;200;225;land;false;desert;1
77;249;252;250;land;false;forest;1
78;85;227;206;land;false;forest;1
79;27;246;246;land;false;desert;1
80;198;201;237;land;false;plains;1
81;87;224;195;land;false;plains;1
82;144;228;241;land;false;desert;1
83;251;234;66;land;false;plains;1
84;43;245;249;land;false;plains;1
85;212;210;186;land;false;plains;1
86;190;117;240;land;true;desert;1
87;232;196;190;land;false;desert;1
88;234;220;72;land;true;plains;1
89;86;231;226;land;false;hills;1
90;102;233;253;land;false;jungle;1
91;108;199;253;land;false;hills;1
92;74;221;241;land;false;plains;1
93;236;69;206;land;true;plains;1
94;214;228;161;land;true;desert;1
95;221;173;216;land;false;forest;1
96;173;232;151;land;true;forest;1
97;252;93;184;land;false;plains;1
98;246;156;234;land;false;hills;1
99;249;76;177;land;true;desert;1
100;234;230;152;land;false;hills;1
101;238;168;116;land;true;hills;1
102;156;193;200;land;true;desert;1
103;200;191;200;land;false;plains;1
104;217;243;49;land;true;hills;1
105;130;202;205;land;false;marsh;1
106;130;185;194;land;false;desert;1
107;174;189;202;land;false;forest;1
108;238;180;150;land;false;marsh;1
109;176;165;232;land;false;desert;1
110;244;172;233;land;false;desert;1
111;190;186;201;land;false;plains;1
112;233;161;172;land;false;plains;1
113;236;190;238;land;false;forest;1
114;172;146;189;land;false;forest;1
115;156;108;252;land;false;plains;1
116;237;243;253;land;false;plains;1
117;250;197;126;land;false;forest;1
118;179;135;229;land;false;plains;1
119;209;202;169;land;true;plains;1
120;137;193;195;land;false;plains;1
121;163;216;239;land;false;plains;1
122;198;225;189;land;false;desert;1
123;142;184;205;land;false;desert;1
124;158;193;161;land;false;desert;1
125;192;72;248;land;false;plains;1
126;174;141;221;land;false;plains;1
127;171;99;245;land;true;plains;1
128;106;211;236;land;false;plains;1
129;147;184;208;land;true;urban;1
130;230;111;186;land;false;forest;1
131;241;139;181;land;false;plains;1
132;231;199;140;land;false;plains;1
133;232;80;238;land;false;plains;1
134;101;191;248;land;true;plains;1
