1;1791.00;9.50;1023.00;big
2;1808.00;9.50;25.00;big
2;1926.00;9.50;47.00;big
3;2038.00;9.50;193.00;big
3;2183.00;9.50;158.00;big
4;2427.00;9.75;73.00;big
4;2500.00;9.68;162.00;big
5;2560.00;9.50;256.00;big
5;2504.00;9.50;254.00;big
6;2812.00;9.50;189.00;big
6;2748.00;9.88;246.00;big
7;2285.00;9.50;475.00;big
7;2336.00;9.50;425.00;big
8;2704.00;13.60;27.00;big
8;2525.00;10.45;38.00;big
9;2776.00;10.20;116.00;big
9;2659.00;9.88;94.00;big
10;2873.00;9.80;54.00;big
10;2907.00;9.55;170.00;big
11;2693.00;10.53;168.00;big
11;2707.00;10.82;206.00;big
12;2113.00;9.50;375.00;big
12;2031.00;9.65;375.00;big
13;2538.00;9.93;122.00;big
13;2588.00;9.95;121.00;big
14;2584.00;10.00;272.00;big
14;2611.00;10.20;178.00;big
15;3033.00;12.68;30.00;big
15;2964.00;9.50;29.00;big
16;3047.00;10.23;79.00;big
16;3160.00;11.68;91.00;big
17;3050.00;10.75;191.00;big
17;3195.00;10.35;197.00;big
18;2969.00;10.85;265.00;big
18;2968.00;9.50;334.00;big
19;1840.00;10.28;93.00;big
19;1873.00;13.18;190.00;big
20;2214.00;12.03;326.00;big
20;2164.00;9.82;249.00;big
21;2584.00;10.15;361.00;big
21;2534.00;9.85;357.00;big
22;2153.00;9.50;576.00;big
22;2141.00;9.50;651.00;big
23;1841.00;9.50;1207.00;big
23;1957.00;9.90;1254.00;big
24;2072.00;10.28;1385.00;big
24;1975.00;9.90;1394.00;big
25;3221.00;9.50;27.00;big
25;3295.00;9.50;113.00;big
26;3377.00;9.50;14.00;big
26;3441.00;9.50;10.00;big
27;1993.00;10.20;86.00;big
27;2129.00;10.32;59.00;big
28;2677.00;9.50;352.00;big
28;2699.00;9.50;255.00;big
29;3348.00;10.18;502.00;big
29;3365.00;10.15;388.00;big
30;2742.00;11.25;658.00;big
30;2674.00;11.10;642.00;big
31;1965.00;9.50;289.00;big
31;1859.00;9.55;315.00;big
32;1984.00;10.78;535.00;big
32;2014.00;11.80;625.00;big
33;1877.00;10.93;425.00;big
33;1850.00;12.40;533.00;big
34;2021.00;9.82;707.00;big
34;2106.00;11.88;785.00;big
35;2264.00;9.50;840.00;big
35;2202.00;9.88;866.00;big
36;2007.00;11.85;851.00;big
36;1937.00;12.35;834.00;big
37;3652.00;9.85;324.00;big
37;3653.00;9.50;204.00;big
38;2042.00;9.50;1638.00;big
38;2095.00;9.50;1580.00;big
39;2370.00;9.50;581.00;big
39;2416.00;9.50;569.00;big
40;3724.00;9.50;359.00;big
40;3715.00;9.50;423.00;big
41;2054.00;9.50;1507.00;big
41;2121.00;9.50;1517.00;big
42;2492.00;9.50;672.00;big
42;2538.00;9.50;707.00;big
43;1845.00;9.50;1521.00;big
43;1805.00;10.95;1499.00;big
44;3643.00;9.50;392.00;big
44;3652.00;9.50;450.00;big
45;1989.00;9.50;1327.00;big
45;2042.00;9.50;1296.00;big
46;2001.00;9.50;682.00;big
46;2025.00;9.50;789.00;big
47;2272.00;10.20;84.00;big
47;2341.00;10.07;119.00;big
48;2028.00;10.10;1516.00;big
48;2095.00;9.50;1469.00;big
49;3110.00;9.88;664.00;big
49;3172.00;10.35;633.00;big
50;3398.00;10.12;807.00;big
50;3486.00;9.50;850.00;big
51;3251.00;9.50;873.00;big
51;3288.00;9.50;935.00;big
52;3795.00;11.05;1012.00;big
52;3816.00;10.50;946.00;big
53;3763.00;9.82;788.00;big
53;3793.00;10.10;692.00;big
54;3374.00;9.50;1972.00;big
54;3305.00;9.50;1973.00;big
55;3470.00;9.50;1924.00;big
55;3514.00;9.50;1906.00;big
56;3515.00;9.50;330.00;big
56;3453.00;11.53;303.00;big
57;2150.00;10.20;924.00;big
57;2075.00;12.50;899.00;big
58;3014.00;9.50;1646.00;big
58;3063.00;9.50;1690.00;big
59;3177.00;9.50;1005.00;big
59;3146.00;9.50;958.00;big
60;2567.00;9.88;1164.00;big
60;2637.00;9.85;1161.00;big
61;3505.00;10.05;423.00;big
61;3576.00;10.18;422.00;big
62;3449.00;9.73;498.00;big
62;3429.00;10.53;423.00;big
63;3231.00;9.90;688.00;big
